series_name,#,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep
Madam Secretary,1.21,The Kill List,7.8,228,21,/title/tt4511544/,0.0821917808219178,0.2420091324200913,0.0228310502283105,0.0136986301369863,0.0136986301369863,0.0365296803652968,0.0410958904109589,0.2054794520547945,0.2511415525114155,0.091324200913242,1,21
Madam Secretary,1.22,There But for the Grace of God,7.8,227,22,/title/tt4513594/,0.08733624454148471,0.2838427947598253,0.013100436681222707,0.013100436681222707,0.013100436681222707,0.013100436681222707,0.021834061135371178,0.12663755458515283,0.30131004366812225,0.12663755458515283,1,22
Madam Secretary,2.1,The Show Must Go On,8.3,260,23,/title/tt4531946/,0.07017543859649122,0.31140350877192985,0.008771929824561403,0.013157894736842105,0.017543859649122806,0.02631578947368421,0.02631578947368421,0.13596491228070176,0.2982456140350877,0.09210526315789473,2,1
Madam Secretary,2.2,The Doability Doctrine,8,211,24,/title/tt4886606/,0.052132701421800945,0.3080568720379147,0.018957345971563982,0.018957345971563982,0.009478672985781991,0.014218009478672985,0.03317535545023697,0.10426540284360189,0.2890995260663507,0.15165876777251186,2,2
Madam Secretary,2.3,The Rusalka,7.8,183,25,/title/tt4928536/,0.06282722513089005,0.29842931937172773,0.015706806282722512,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.06282722513089005,0.14659685863874344,0.24607329842931938,0.13089005235602094,2,3
Madam Secretary,2.4,Waiting for Taleju,7.9,179,26,/title/tt4940742/,0.05,0.2722222222222222,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.03888888888888889,0.05555555555555555,0.14444444444444443,0.3,0.10555555555555556,2,4
Madam Secretary,2.5,The Long Shot,8,180,27,/title/tt4967362/,0.06557377049180328,0.273224043715847,0.02185792349726776,0.01639344262295082,0.01092896174863388,0.04918032786885246,0.03825136612021858,0.15846994535519127,0.24043715846994534,0.12568306010928962,2,5
Madam Secretary,2.6,Catch and Release,7.9,190,28,/title/tt4967370/,0.06077348066298342,0.292817679558011,0.022099447513812154,0.011049723756906077,0.016574585635359115,0.022099447513812154,0.04419889502762431,0.08839779005524862,0.3425414364640884,0.09944751381215469,2,6
Madam Secretary,2.7,You Say You Want a Revolution,8,191,29,/title/tt4967378/,0.057291666666666664,0.3333333333333333,0.020833333333333332,0.026041666666666668,0.020833333333333332,0.010416666666666666,0.020833333333333332,0.15104166666666666,0.2552083333333333,0.10416666666666667,2,7
Madam Secretary,2.8,Lights Out,8.4,202,30,/title/tt5054236/,0.06896551724137931,0.35467980295566504,0.014778325123152709,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.024630541871921183,0.059113300492610835,0.22660098522167488,0.22167487684729065,2,8
Madam Secretary,2.9,Russian Roulette,8.2,198,31,/title/tt5163858/,0.05555555555555555,0.3055555555555556,0.03333333333333333,0.005555555555555556,0.011111111111111112,0.03888888888888889,0.044444444444444446,0.15555555555555556,0.25,0.1,2,9
Madam Secretary,2.1,The Greater Good,8.3,213,32,/title/tt5183328/,0.05527638190954774,0.31155778894472363,0.010050251256281407,0.020100502512562814,0.01507537688442211,0.005025125628140704,0.02512562814070352,0.08040201005025126,0.2613065326633166,0.21608040201005024,2,10
Madam Secretary,2.11,Unity Node,7.9,179,33,/title/tt5234694/,0.056074766355140186,0.35046728971962615,0.014018691588785047,0.014018691588785047,0.009345794392523364,0.014018691588785047,0.009345794392523364,0.09813084112149532,0.27102803738317754,0.16355140186915887,2,11
Madam Secretary,2.12,The Middle Way,7.7,177,34,/title/tt5235868/,0.0449438202247191,0.25842696629213485,0.02247191011235955,0.02247191011235955,0.016853932584269662,0.033707865168539325,0.07303370786516854,0.1853932584269663,0.28651685393258425,0.056179775280898875,2,12
Madam Secretary,2.13,Invasive Species,7.9,180,35,/title/tt5235874/,0.049723756906077346,0.2983425414364641,0.027624309392265192,0.011049723756906077,0.016574585635359115,0.027624309392265192,0.06629834254143646,0.13812154696132597,0.22099447513812154,0.143646408839779,2,13
Madam Secretary,2.14,Left of the Boom,7.9,180,36,/title/tt5235876/,0.055248618784530384,0.32044198895027626,0.022099447513812154,0.03314917127071823,0.0055248618784530384,0.022099447513812154,0.03867403314917127,0.11602209944751381,0.24861878453038674,0.13812154696132597,2,14
Madam Secretary,2.15,Right of the Boom,7.9,162,37,/title/tt5335020/,0.047619047619047616,0.24489795918367346,0.02040816326530612,0.013605442176870748,0.027210884353741496,0.027210884353741496,0.06802721088435375,0.19047619047619047,0.272108843537415,0.08843537414965986,2,15
Madam Secretary,2.16,Hijriyyah,7.7,146,38,/title/tt5342198/,0.05521472392638037,0.3067484662576687,0.012269938650306749,0.03067484662576687,0.024539877300613498,0.006134969325153374,0.04294478527607362,0.1411042944785276,0.2392638036809816,0.1411042944785276,2,16
Madam Secretary,2.17,Higher Learning,7.8,153,39,/title/tt5456154/,0.07228915662650602,0.21686746987951808,0.024096385542168676,0.012048192771084338,0.04216867469879518,0.04819277108433735,0.08433734939759036,0.23493975903614459,0.21686746987951808,0.04819277108433735,2,17
Madam Secretary,2.18,On the Clock,7.3,165,40,/title/tt5475470/,0.05194805194805195,0.2922077922077922,0.01948051948051948,0.012987012987012988,0.01948051948051948,0.032467532467532464,0.07142857142857142,0.16883116883116883,0.2662337662337662,0.06493506493506493,2,18
Madam Secretary,2.19,Desperate Remedies,7.7,151,41,/title/tt5495706/,0.05921052631578947,0.2631578947368421,0.02631578947368421,0.019736842105263157,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.17763157894736842,0.3223684210526316,0.06578947368421052,2,19
