series_name, imdb_id
Banshee,tt2017109
Development,tt4888440
The L.A. Complex,tt1794147
Happily Divorced,tt1830622
Seinfeld,tt0098904
Awake,tt0211933
Will And Grace,tt0157246
The Take,tt2368619
Doutor House,tt2492714
Billions,tt4270492
Bleach,tt0434665
Unforgettable,tt3462710
Trust Me,tt2421416
Happy Endings,tt1587678
Os Pinguins de Madagascar,tt1911658
Southland,tt1299368
Cavemen,tt2378884
Brilhante Victoria,tt1604099
Whitney,tt1850458
The X Factor,tt0423776
How to Make It in America,tt1299365
The Glades,tt1552112
House of Lies,tt0758774
Joan Of Arcadia,tt0367345
Numbers,tt0433309
Elementary,tt2191671
The Amazing Race,tt0285335
Pretty Little Liars,tt1578873
Alias,tt0285333
Damages,tt0914387
Minority Report,tt0181689
Southcliffe,tt2446726
Looking,tt2581458
24 Horas,tt0285331
Kingdom Hospital,tt0324864
Brothers e Sisters,tt4971344
Penny Dreadful,tt2628232
Fargo,tt2802850
The Vampire Diaries,tt1405406
In Treatment,tt0835434
Red Band Society,tt3576794
Human Target,tt1439741
Heroes Reborn,tt3556944
The Unit,tt0460690
The Body Farm,tt1842973
Raising The Bar,tt5274066
Night Dinner,tt1844923
Veep,tt1759761
Community,tt1439629
Vegas,tt0077093
Hawthorne,tt1382367
Please Like Me,tt2155025
11.22.63,tt2879552
Dracula,tt0103874
Eastwick,tt1402376
Breakout Kings,tt1590961
Bedrag,tt0401997
Camp,tt0342167
Junto e Misturado,tt1745236
Bouquet Of Barbed Wire,tt0073967
The Exes,tt1830888
Galavant,tt3305096
Bionic Woman,tt0880557
The Firm,tt0106918
Fringe,tt1119644
Spartacus Gods of The Arena,tt1758429
Last Man Standing,tt1828327
Xena a Princesa Guerreira,tt0112230
Queer as Folk,tt0185102
Charmed,tt0158552
Dont Trust the Bitch in Apartment 23,tt1819509
True Detective,tt2356777
NCIS: New Orleans,tt3560084
Downton Abbey,tt1606375
Os Cavaleiros do ZodÃ­aco,tt0161952
Csi Las Vegas,tt0247082
Finder,tt5778680
Men At Work,tt0100135
One Tree Hill,tt0368530
Person Of Interest,tt1839578
Star Wars Rebels,tt2930604
Lark Rise To Cardleford,tt1077744
Criminal Minds Suspect,tt1703874
Band of Brothers,tt0185906
quantico,tt0452046
Moonlight,tt4975722
Hot In Cleveland,tt1583607
Battle Creek,tt3215364
Scream Queens,tt4145384
Life in Pieces,tt4384086
Chuck,tt0934814
Men of a Certain Age,tt1242441
Switched At Birth,tt1758772
The Wire,tt0306414
Fresh Meat,tt2058303
The Carrie Diaries,tt2056366
30 Rock,tt0496424
Lights Out,tt4786282
Detroit 1-8-7,tt1578258
Super Girl,tt2176947
Kdabra,tt1558643
Better Call Saul,tt3032476
Cold Case,tt0368479
Treme,tt1279972
How To Live With Your Parents,tt2226397
The Good Wife,tt1442462
Misfits,tt1548850
The Goldbergs,tt2712740
Enlightened,tt1509004
Golden Boy,tt0118636
Red Widow,tt2215399
The Red Road,tt2505072
Rescue Me,tt0381798
Animes,tt0070909
Flash Forward,tt1441135
Without a Trace (Desaparecidos),tt0321021
The Middle,tt1442464
Falling Skies,tt1462059
Fly Girls,tt1531273
Masters Of Sex,tt2137109
Eureka,tt0796264
The Village,tt0368447
Super Fun Night,tt2298477
The Yard,tt5651762
Stargate Universe,tt1286039
UnREAL,tt3314218
The Mill,tt2220768
Cougar Town,tt1441109
Aliens In America,tt0790603
Outsourced,tt1593756
The Good Guys,tt1567254
Vera,tt1693592
Chicago Fire,tt2261391
The Messengers,tt3513704
A Lista de Clientes,tt1625340
Blindspot,tt4474344
Unforgiven,tt0105695
Murder In The First,tt2402061
Peaky Blinders,tt2442560
The Whispers,tt3487410
Z Nation,tt3843168
Smash,tt1825133
Entourage,tt0387199
Make It or Break It,tt1332030
Battlestar Galactica,tt0407362
The New Normal,tt2087571
Spartacus: Blood and Sand,tt1442449
Line Of Duty,tt2303687
Man Up,tt3064298
The Crazy Ones,tt2710104
White Collar,tt1358522
Miracles,tt0320075
The Playboy Club,tt1797475
Uncategorized,tt1579358
Hannibal,tt2243973
Big School,tt2827534
Kyle-Xy,tt0756509
Underground,tt4522400
Helix,tt2758950
90210,tt1225901
Humans,tt4122068
Teen Wolf,tt1567432
Crossing Lines,tt2427220
Betrayal,tt2751074
Revenge,tt1837642
The Goodwin Games,tt2244871
Releases,tt6017172
Beaver Falls,tt1919418
X Men Evolution,tt0247827
The Fall,tt2294189
Army Wives,tt0859592
Dominion,tt3079768
The Neighbors,tt2182229
Hostages,tt2647258
Shadowhunters,tt4145054
Alcatraz,tt0117500
WordCamp,tt0482060
UnderCovers,tt1568769
Lip Service,tt1533010
Low Winter Sun,tt2314792
The Secret Circle,tt1837654
Death Valley,tt2461030
Sons of Anarchy,tt1124373
Wilfred,tt1703925
Rush Hour,tt0120812
Glory Daze,tt0116422
Best Friends Forever,tt3509114
Survivor,tt0239195
Fresh Off the Boat,tt3551096
The Real White Queen And Her Rivals,tt5928682
XIII The Series,tt1713938
Wayward Pines,tt2618986
Code Black,tt4452630
Do No Harm,tt2184980
Arrested Development,tt0367279
Thorne: Scaredy Cat,tt1659253
American Crime Story,tt2788432
Drop Dead Diva,tt1280822
Support Forums,tt2173992
Desperate Housewives,tt0410975
Dallas,tt0077000
The Glee Project,tt1816993
Brotherhood,tt5193784
Retired At 35,tt1570987
The Bridge,tt1733785
The Last Man On Earth,tt3230454
Younger,tt3288518
Cristela,tt3729144
Smallville,tt0279600
